Date,Entry_Time,Exit_Time,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2026-06-30,09:15 AM,09:20 AM,BDL,LONG,1339.7,1366.49,1328.98,1355.78,1366.49,93,HIT_T2,2491.84,0.024918,102491.84
2026-06-30,09:15 AM,09:20 AM,ACE,LONG,987.85,999.7,979.95,999.7,1007.61,129,HIT_T1,1529.19,0.01492,104021.03
2026-06-30,09:15 AM,09:20 AM,APTUS,LONG,268.95,272.18,266.8,272.18,274.33,483,HIT_T1,1558.83,0.014986,105579.87
2026-07-01,09:15 AM,09:20 AM,ABREL,LONG,1330.8,1346.77,1320.15,1346.77,1357.42,99,HIT_T1,1580.99,0.014974,107160.86
2026-07-01,09:15 AM,09:35 AM,BEML,LONG,1770.2,1791.44,1756.04,1791.44,1805.6,75,HIT_T1,1593.18,0.014867,108754.04
2026-07-01,09:15 AM,09:20 AM,ATHERENERG,LONG,1140.6,1163.41,1131.48,1154.29,1163.41,119,HIT_T2,2714.63,0.024961,111468.67
2026-07-02,09:15 AM,09:25 AM,BPCL,LONG,306.5,310.18,304.05,310.18,312.63,454,HIT_T1,1669.81,0.01498,113138.48
2026-07-02,09:15 AM,09:30 AM,ABFRL,LONG,58.97,60.15,58.5,59.68,60.15,2398,HIT_T2,2828.2,0.024998,115966.68
2026-07-02,09:15 AM,09:20 AM,AARTIIND,LONG,469.0,474.63,465.25,474.63,478.38,309,HIT_T1,1739.05,0.014996,117705.73
2026-07-03,09:15 AM,09:20 AM,AEGISVOPAK,LONG,236.98,241.72,235.08,239.82,241.72,620,HIT_T2,2938.55,0.024965,120644.28
2026-07-03,09:15 AM,09:25 AM,CPPLUS,LONG,3499.0,3499.0,3471.01,3540.99,3568.98,43,HIT_BE,0.0,0.0,120644.28
2026-07-03,09:15 AM,09:30 AM,AUROPHARMA,LONG,1568.9,1587.73,1556.35,1587.73,1600.28,96,HIT_T1,1807.37,0.014981,122451.66
2026-07-06,09:15 AM,09:20 AM,APARINDS,LONG,14150.0,14433.0,14036.8,14319.8,14433.0,10,HIT_T2,2830.0,0.023111,125281.66
2026-07-06,09:15 AM,09:25 AM,AEGISLOG,LONG,1314.1,1314.1,1303.59,1329.87,1340.38,119,HIT_BE,0.0,0.0,125281.66
2026-07-06,09:15 AM,09:20 AM,BANDHANBNK,LONG,200.96,204.98,199.35,203.37,204.98,779,HIT_T2,3130.96,0.024991,128412.61
2026-07-07,09:15 AM,09:20 AM,BELRISE,LONG,223.7,226.38,221.91,226.38,228.17,717,HIT_T1,1924.71,0.014989,130337.33
2026-07-07,09:15 AM,09:45 AM,CPPLUS,LONG,3580.0,3622.96,3551.36,3622.96,3651.6,45,HIT_T1,1933.2,0.014832,132270.53
2026-07-07,09:15 AM,09:20 AM,ALKEM,LONG,5635.0,5702.62,5589.92,5702.62,5747.7,29,HIT_T1,1960.98,0.014826,134231.51
2026-07-08,09:15 AM,09:20 AM,ANTHEM,LONG,756.05,771.17,750.0,765.12,771.17,221,HIT_T2,3341.74,0.024895,137573.25
