Date,Trigger_Time,Timestamp,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2023-11-23,09:15 AM,2023-11-23 09:15,CGPOWER,LONG,494.48,484.59,484.59,509.31,519.2,101,HIT_SL,-998.84,-0.009988,99001.16
2023-11-23,09:15 AM,2023-11-23 09:15,ANANDRATHI,LONG,607.21,625.43,595.07,625.43,637.57,81,HIT_T1,1475.53,0.014904,100476.68
2023-11-23,09:15 AM,2023-11-23 09:15,AUROPHARMA,LONG,1049.54,1028.55,1028.55,1081.03,1102.02,47,HIT_SL,-986.57,-0.009819,99490.11
2023-11-24,09:15 AM,2023-11-24 09:15,ANANDRATHI,LONG,615.12,621.23,602.82,633.57,645.87,80,EXPIRED_SAME_DAY,489.13,0.004916,99979.24
2023-11-24,09:15 AM,2023-11-24 09:15,CGPOWER,LONG,463.94,454.67,454.67,477.86,487.14,107,HIT_SL,-992.84,-0.00993,98986.4
2023-11-24,09:15 AM,2023-11-24 09:15,BALRAMCHIN,LONG,464.74,455.44,455.44,478.68,487.98,106,HIT_SL,-985.25,-0.009953,98001.16
2023-11-28,09:15 AM,2023-11-28 09:15,ANANDRATHI,LONG,621.45,625.36,609.03,640.1,652.53,78,EXPIRED_SAME_DAY,304.45,0.003107,98305.6
2023-11-28,09:15 AM,2023-11-28 09:15,CGPOWER,LONG,429.94,421.34,421.34,442.84,451.43,114,HIT_SL,-980.26,-0.009972,97325.35
2023-11-28,09:15 AM,2023-11-28 09:15,AEGISLOG,LONG,337.35,335.74,330.6,347.47,354.22,144,EXPIRED_SAME_DAY,-231.66,-0.00238,97093.69
2023-11-29,09:15 AM,2023-11-29 09:15,ATGL,LONG,699.31,734.28,685.32,720.29,734.28,69,HIT_T2,2412.62,0.024848,99506.31
2023-11-29,09:15 AM,2023-11-29 09:15,ADANIENSOL,LONG,899.0,943.95,881.02,925.97,943.95,55,HIT_T2,2472.25,0.024845,101978.56
2023-11-29,09:15 AM,2023-11-29 09:15,ADANIPOWER,LONG,91.34,94.08,89.51,94.08,95.91,558,HIT_T1,1529.03,0.014994,103507.59
2023-11-30,09:15 AM,2023-11-30 09:15,ATGL,LONG,746.26,731.34,731.34,768.65,783.58,69,HIT_SL,-1029.84,-0.009949,102477.75
2023-11-30,09:15 AM,2023-11-30 09:15,ADANIENSOL,LONG,873.95,856.47,856.47,900.17,917.65,58,HIT_SL,-1013.78,-0.009893,101463.96
2023-11-30,09:15 AM,2023-11-30 09:15,BHEL,LONG,164.73,172.97,161.44,169.67,172.97,307,HIT_T2,2528.64,0.024922,103992.6
2023-12-01,09:15 AM,2023-12-01 09:15,ATGL,LONG,715.99,701.67,701.67,737.47,751.79,72,HIT_SL,-1031.03,-0.009914,102961.57
2023-12-01,09:15 AM,2023-12-01 09:15,BHEL,LONG,170.3,169.45,166.89,175.41,178.81,302,EXPIRED_SAME_DAY,-255.13,-0.002478,102706.45
2023-12-01,09:15 AM,2023-12-01 09:15,ADANIENSOL,LONG,872.65,855.2,855.2,898.83,916.28,58,HIT_SL,-1012.27,-0.009856,101694.17
2023-12-04,09:15 AM,2023-12-04 09:15,ATGL,LONG,769.24,792.32,753.86,792.32,807.7,66,HIT_T1,1523.1,0.014977,103217.27
2023-12-04,09:15 AM,2023-12-04 09:15,BHEL,LONG,174.02,170.54,170.54,179.25,182.73,296,HIT_SL,-1030.23,-0.009981,102187.04
2023-12-04,09:15 AM,2023-12-04 09:15,ASTERDM,LONG,311.73,305.49,305.49,321.08,327.31,163,HIT_SL,-1016.23,-0.009945,101170.81
2023-12-05,09:15 AM,2023-12-05 09:15,ATGL,LONG,731.58,768.16,716.95,753.53,768.16,69,HIT_T2,2523.95,0.024947,103694.76
2023-12-05,09:15 AM,2023-12-05 09:15,ADANIENSOL,LONG,903.0,948.15,884.94,930.09,948.15,57,HIT_T2,2573.55,0.024819,106268.31
2023-12-05,09:15 AM,2023-12-05 09:15,ADANIGREEN,LONG,1126.0,1182.3,1103.48,1159.78,1182.3,47,HIT_T2,2646.1,0.0249,108914.41
2023-12-06,09:15 AM,2023-12-06 09:15,ATGL,LONG,914.1,959.8,895.82,941.52,959.8,59,HIT_T2,2696.59,0.024759,111611.0
2023-12-06,09:15 AM,2023-12-06 09:15,ADANIGREEN,LONG,1474.5,1548.22,1445.01,1518.74,1548.22,37,HIT_T2,2727.82,0.02444,114338.82
2023-12-06,09:15 AM,2023-12-06 09:15,ADANIENSOL,LONG,1137.0,1193.85,1114.26,1171.11,1193.85,50,HIT_T2,2842.5,0.02486,117181.32
2023-12-07,09:15 AM,2023-12-07 09:15,ADANIGREEN,LONG,1580.0,1659.0,1548.4,1627.4,1659.0,37,HIT_T2,2923.0,0.024944,120104.32
2023-12-07,09:15 AM,2023-12-07 09:15,ATGL,LONG,1100.91,1155.96,1078.9,1133.94,1155.96,54,HIT_T2,2972.47,0.024749,123076.79
2023-12-07,09:15 AM,2023-12-07 09:15,ADANIENSOL,LONG,1164.3,1222.52,1141.01,1199.23,1222.52,52,HIT_T2,3027.18,0.024596,126103.97
2023-12-08,09:15 AM,2023-12-08 09:15,ATGL,LONG,1228.79,1204.21,1204.21,1265.65,1290.23,51,HIT_SL,-1253.36,-0.009939,124850.61
2023-12-08,09:15 AM,2023-12-08 09:15,ADANIGREEN,LONG,1645.0,1612.1,1612.1,1694.35,1727.25,37,HIT_SL,-1217.3,-0.00975,123633.31
2023-12-08,09:15 AM,2023-12-08 09:15,ADANIENSOL,LONG,1208.7,1184.53,1184.53,1244.96,1269.13,51,HIT_SL,-1232.87,-0.009972,122400.44
2023-12-11,09:15 AM,2023-12-11 09:15,ATGL,LONG,1178.79,1214.15,1155.21,1214.15,1237.73,51,HIT_T1,1803.55,0.014735,124203.98
2023-12-11,09:15 AM,2023-12-11 09:15,ADANIGREEN,LONG,1554.4,1523.31,1523.31,1601.03,1632.12,39,HIT_SL,-1212.43,-0.009762,122991.55
2023-12-11,09:15 AM,2023-12-11 09:15,ADANIENSOL,LONG,1137.95,1115.19,1115.19,1172.09,1194.85,54,HIT_SL,-1228.99,-0.009992,121762.56
2023-12-12,09:15 AM,2023-12-12 09:15,ATGL,LONG,1178.84,1155.26,1155.26,1214.2,1237.78,51,HIT_SL,-1202.41,-0.009875,120560.15
2023-12-12,09:15 AM,2023-12-12 09:15,ADANIGREEN,LONG,1532.85,1502.19,1502.19,1578.84,1609.49,39,HIT_SL,-1195.62,-0.009917,119364.53
2023-12-12,09:15 AM,2023-12-12 09:15,ADANIENSOL,LONG,1132.0,1109.36,1109.36,1165.96,1188.6,52,HIT_SL,-1177.28,-0.009863,118187.25
2023-12-13,09:15 AM,2023-12-13 09:15,ATGL,LONG,1108.91,1086.73,1086.73,1142.17,1164.35,53,HIT_SL,-1175.44,-0.009946,117011.8
2023-12-13,09:15 AM,2023-12-13 09:15,BLS,LONG,316.07,309.75,309.75,325.56,331.88,185,HIT_SL,-1169.48,-0.009995,115842.33
2023-12-13,09:15 AM,2023-12-13 09:15,BDL,LONG,678.04,682.77,664.48,698.38,711.94,85,EXPIRED_SAME_DAY,402.68,0.003476,116245.0
2023-12-14,09:15 AM,2023-12-14 09:15,BLS,LONG,312.37,306.12,306.12,321.74,327.99,186,HIT_SL,-1162.02,-0.009996,115082.99
